time,balance
2018-03-01,90563.8511
2018-03-02,90563.851
2018-03-03,90563.851
2018-03-04,88063.85
2018-03-05,88063.85
2018-03-06,88063.85
2018-03-07,88063.85
2018-03-08,88063.85
2018-03-09,88063.85
2018-03-10,85563.85
2018-03-11,85563.85
2018-03-12,85563.85
2018-03-13,83063.85
2018-03-14,83063.85
2018-03-15,83063.85
2018-03-16,83063.85
2018-03-17,83063.85
2018-03-18,80563.85
2018-03-19,80563.85
2018-03-20,80563.85
2018-03-21,80563.85
2018-03-22,80563.85
2018-03-23,80563.85
2018-03-24,80563.85
2018-03-25,77639.85
2018-03-26,75731.85
2018-03-27,75254.85
2018-03-28,75254.85
2018-03-29,75254.85
2018-03-30,75254.85
2018-03-31,74194.85
2018-04-01,70528.85
2018-04-02,69283.35
2018-04-03,69283.35
2018-04-04,65670.35
2018-04-05,64000.85
2018-04-06,63444.35
2018-04-07,62516.85
2018-04-08,62516.85
2018-04-09,60396.85
2018-04-10,57896.85
2018-04-11,57896.85
2018-04-12,57499.35
2018-04-13,57499.35
2018-04-14,57499.35
2018-04-15,55114.35
2018-04-16,54928.85
2018-04-17,53683.85
2018-04-18,53444.85
2018-04-19,51589.85
2018-04-20,45733.35
2018-04-21,44699.85
2018-04-22,42367.85
2018-04-23,41281.35
2018-04-24,37238.87
2018-04-25,36708.87
2018-04-26,35039.37
2018-04-27,31408.87
2018-04-28,31408.87
2018-04-29,31064.37
2018-04-30,30746.37
2018-05-01,30746.37
2018-05-02,29977.87
2018-05-03,29977.87
2018-05-04,25817.37
2018-05-05,25287.37
2018-05-06,24783.47
2018-05-07,20278.87
2018-05-08,20278.87
2018-05-09,20278.87
2018-05-10,20278.87
2018-05-11,18069.37
2018-05-12,18069.37
2018-05-13,18397.37
2018-05-14,17231.37
2018-05-15,17231.37
2018-05-16,16674.87
2018-05-17,16489.37
2018-05-18,16489.37
2018-05-19,16330.37
2018-05-20,16330.37
2018-05-21,16330.37
2018-05-22,16171.37
2018-05-23,16171.37
2018-05-24,15243.87
2018-05-25,13998.37
2018-05-26,13998.37
2018-05-27,10871.37
2018-05-28,10871.37
2018-05-29,10500.37
2018-05-30,9758.37
2018-05-31,9758.37
